dsid,mzp,mdh,mdm,gq,gx,acc_MET150200_2b,acc_MET200350_2b,acc_MET350500_2b,acc_MET500750_2b,acc_MET750_2b,acc_MET150200_3b,acc_MET200350_3b,acc_MET350500_3b,acc_MET500_3b,acc_total,sensitivity
100920,2000,130,1025,0.25,2.0,0.000837955,0.0766608,0.0450685,0.030331,0.0120597,0.0,0.0010814,0.000883788,0.00163244,0.168555583,0.394140142226
100922,2000,130,1025,0.25,3.0,0.000456997,0.0789905,0.0439116,0.0322898,0.0113434,0.0,0.00196003,0.000749456,0.00195133,0.171653113,2.04794360729
100923,2000,130,1025,0.25,3.5,0.00132195,0.0775823,0.0445197,0.0333957,0.0128058,0.0,0.0017017,0.000687896,0.00236021,0.174375256,3.99721778033
100924,2000,130,1210,0.25,0.5,0.00118677,0.0768027,0.0457124,0.0340346,0.0154937,0.0,0.000985178,0.000843275,0.000945791,0.17600441400000003,0.000252261777063
100925,2000,130,1210,0.25,1.0,0.0016205,0.0814865,0.0436289,0.0329532,0.0140001,0.0,0.000834434,0.000718355,0.00231764,0.177559629,0.00398200420977
100928,2000,130,1210,0.25,2.5,0.00111557,0.0770849,0.0460645,0.0321139,0.0146117,0.0,0.00193701,0.000616746,0.00209418,0.175638506,0.158621671404
100929,2000,130,1210,0.25,3.0,0.00148356,0.0800006,0.0434789,0.0335422,0.0147241,0.0,0.00122572,0.00100959,0.00174178,0.17720645000000002,0.324794210767
100930,2000,130,1210,0.25,3.5,0.000388291,0.0773383,0.0460759,0.0329497,0.0125712,0.0,0.000883606,0.000654059,0.00177876,0.17263981599999997,0.567822741438
100932,2000,150,100,0.25,1.0,0.00100433,0.0870474,0.0592012,0.0430458,0.00959674,8.56907e-05,0.00134175,0.000768386,0.00162413,0.2037154267,5.7768505204
100933,2000,150,100,0.25,1.5,0.00154661,0.0882131,0.0644858,0.0465236,0.0103579,0.0,0.00193323,0.00077684,0.00167416,0.21551124000000002,21.3496350709
100934,2000,150,100,0.25,2.0,0.00113115,0.0957203,0.0669494,0.0491211,0.0121659,0.0,0.00183518,0.000829194,0.00265497,0.230407194,48.9696719671
